0.95924,0.96,0.96455,0.95679,0.96957,0.96451,0.96735,0.974,0.97153,0.98319,0.979,0.97698,0.984,0.98885,0.9905,0.988,0.99348,0.99561,0.99134,1.0026,0.998,0.99186,0.99748,1.0072,1.003,1.003,1.003,1.007,0.98274
0.9597,0.96,0.96501,0.95862,0.96776,0.96496,0.96825,0.974,0.97376,0.98096,0.979,0.97876,0.984,0.98664,0.98829,0.988,0.99215,0.9934,0.99222,1.0004,0.99581,0.99449,0.99792,1.005,1.003,1.003,1.003,1.007,0.99009
0.96015,0.96,0.96546,0.96044,0.96595,0.96542,0.96915,0.974,0.97599,0.97873,0.979,0.98055,0.984,0.98443,0.98608,0.988,0.99083,0.99119,0.99311,0.99821,0.99363,0.99711,0.99836,1.0028,1.003,1.003,1.003,1.007,0.99744
0.96061,0.96,0.96591,0.96227,0.96479,0.96587,0.97006,0.9731,0.97822,0.9765,0.97917,0.98234,0.984,0.983,0.98387,0.988,0.98967,0.98898,0.99399,0.99602,0.993,0.99888,0.9988,1.0007,1.003,1.003,1.003,1.007,1.0048
0.96073,0.96,0.966,0.96416,0.96433,0.96927,0.97096,0.97084,0.97754,0.97426,0.97961,0.98355,0.984,0.983,0.983,0.988,0.98879,0.98972,0.99487,0.99384,0.993,0.99844,0.99877,0.99847,1.003,1.003,1.003,1.007,1.0076
0.95891,0.96017,0.966,0.96732,0.96488,0.97378,0.97315,0.96958,0.97531,0.974,0.98,0.98444,0.98247,0.9831,0.983,0.988,0.988,0.99281,0.995,0.99354,0.99398,0.998,0.99833,0.998,1.0029,1.003,1.0053,1.0071,1.0085
0.95708,0.96063,0.96463,0.97048,0.96804,0.97486,0.97541,0.97274,0.97437,0.974,0.98,0.98419,0.98068,0.98398,0.98413,0.988,0.988,0.995,0.995,0.99443,0.99616,0.99584,0.998,0.998,1.0012,1.0031,1.0079,1.008,1.009
0.9548,0.96066,0.96238,0.96912,0.97103,0.97263,0.976,0.9759,0.97527,0.97638,0.98,0.98195,0.98,0.98486,0.98722,0.98721,0.988,0.995,0.995,0.995,0.99786,0.99365,0.998,0.99865,0.99944,1.0036,1.0078,1.0088,1.009
0.95249,0.95884,0.96028,0.96686,0.97148,0.97039,0.976,0.976,0.97609,0.97995,0.98,0.98,0.98,0.98311,0.98978,0.98589,0.98912,0.99499,0.995,0.995,0.99699,0.99393,0.998,0.99996,0.99966,1.004,1.0056,1.009,1.009
0.952,0.95701,0.95844,0.96459,0.97193,0.96811,0.97488,0.976,0.97653,0.982,0.98,0.98,0.98118,0.98088,0.98757,0.98529,0.99045,0.99278,0.995,0.99503,0.99611,0.99526,0.99716,1.001,1.0005,1.0049,1.0042,1.009,1.009
0.952,0.95471,0.957,0.96231,0.97047,0.966,0.97262,0.97469,0.97698,0.982,0.98059,0.98,0.98431,0.9819,0.98536,0.98619,0.991,0.99057,0.995,0.99547,0.99407,0.996,0.99629,1.001,1.001,1.0058,1.0051,1.0083,1.009
0.95057,0.9524,0.957,0.96042,0.96866,0.966,0.97062,0.97288,0.977,0.98158,0.98148,0.98079,0.98724,0.98502,0.98575,0.98716,0.991,0.99033,0.99497,0.99591,0.99187,0.996,0.996,1.001,1.001,1.006,1.006,1.007,1.0093
0.94826,0.95086,0.95696,0.95905,0.96483,0.966,0.96926,0.972,0.977,0.97935,0.982,0.98168,0.98901,0.98797,0.98664,0.98893,0.991,0.99077,0.9932,0.996,0.99207,0.996,0.996,1.0002,1.0014,1.006,1.006,1.006,1.0098
0.9451,0.94947,0.95557,0.95757,0.95981,0.96482,0.96791,0.972,0.977,0.97712,0.982,0.98258,0.99078,0.99062,0.98858,0.99069,0.991,0.99247,0.99144,0.996,0.99384,0.996,0.99688,0.99932,1.0036,1.0051,1.006,1.006,1.0092
0.9409,0.94747,0.95419,0.95572,0.95639,0.96345,0.96654,0.97147,0.977,0.97785,0.98161,0.98347,0.98946,0.993,0.99123,0.99282,0.99117,0.99556,0.99333,0.996,0.9959,0.996,0.99907,0.99955,1.0058,1.0029,1.006,1.006,1.0075
0.93815,0.94513,0.95201,0.954,0.95501,0.96361,0.96517,0.96966,0.97632,0.97876,0.97938,0.984,0.98769,0.993,0.993,0.99503,0.99426,0.998,0.99642,0.996,0.99853,0.99833,1.0011,1.0004,1.006,1.001,1.006,1.0076,1.006
0.93862,0.944,0.9497,0.954,0.95413,0.96452,0.9642,0.96804,0.97497,0.979,0.97714,0.984,0.98618,0.993,0.993,0.99649,0.99735,0.998,0.99886,0.99665,1.0011,1.0009,1.0015,1.0012,1.006,1.001,1.0062,1.0093,1.006
0.93874,0.944,0.94738,0.954,0.95459,0.96391,0.96329,0.96849,0.97336,0.979,0.97784,0.984,0.98484,0.99115,0.993,0.99737,0.998,0.998,1.0006,0.99928,1.0024,1.002,1.0019,1.0016,1.0047,1.001,1.0066,1.0092,1.006
0.93734,0.94348,0.94505,0.95234,0.955,0.96163,0.96362,0.96895,0.9711,0.97679,0.97875,0.984,0.984,0.98894,0.993,0.99764,0.998,0.998,1.002,1.0019,1.0037,1.002,1.0038,1.0022,1.0026,1.0032,1.0071,1.0079,1.0082
0.93591,0.94208,0.94323,0.95049,0.955,0.95934,0.96454,0.9674,0.96887,0.97227,0.979,0.984,0.984,0.98697,0.993,0.99631,0.99689,0.998,1.002,1.0028,1.004,1.002,1.006,1.0052,1.002,1.0058,1.0093,1.0076,1.0108
