78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28
78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901,78.901
79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522,79.522
80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142,80.142
80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763,80.763
81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384,81.384
82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005,82.005
82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626,82.626
83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247,83.247
83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867,83.867
84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488,84.488
85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109,85.109
85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73,85.73
86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351,86.351
86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971,86.971
87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592,87.592
88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213,88.213
88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834,88.834
89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455,89.455
90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076,90.076
90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696,90.696
91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317,91.317
91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938,91.938
92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559,92.559
